TransportationID,TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,LegStep,TripCosts,Departure_CO2e,Return_CO2e
BC000001,1,CN,Beijing,IN,New Delhi,12,Business Class Flight,1,3329.0,1565.1219,1565.1219
BC000002,2,BR,São Paulo,ZA,Johannesburg,12,Business Class Flight,1,5658.0,3055.6576,3055.6576
FC000001,3,US,New York,MX,Mexico City,11,First Class Flight,1,4860.0,743.2958,743.2958
EF000001,4,CN,Beijing,AE,Dubai,10,Economy Flight,1,971.0,630.9485,630.9485
EF000002,4,AE,Dubai,GB,London,10,Economy Flight,2,670.0,1098.3786,1098.3786
EF000003,5,AU,Sydney,US,Los Angeles,10,Economy Flight,1,2261.0,1708.4588,1708.4588
EF000004,6,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1767.0,1053.7135,1053.7135
BC000003,7,DE,Berlin,FR,Paris,12,Business Class Flight,1,580.0,196.2627,196.2627
EF000005,8,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1362.0,1053.7135,1053.7135
EF000006,9,AU,Sydney,AE,Dubai,10,Economy Flight,1,1568.0,1354.7272,1354.7272
EF000007,9,AE,Dubai,DE,Frankfurt,10,Economy Flight,2,664.0,1008.2278,1008.2278
EF000008,10,US,New York,MX,Mexico City,10,Economy Flight,1,702.0,495.564,495.564
EF000009,11,AU,Sydney,SG,Singapore,10,Economy Flight,1,952.0,891.4661,891.4661
EF000010,12,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,181.0,188.4358,188.4358
EF000011,13,AU,Sydney,SG,Singapore,10,Economy Flight,1,880.0,891.4661,891.4661
EF000012,13,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,1069.0,1456.1562,1456.1562
EF000013,14,BR,São Paulo,US,Miami,10,Economy Flight,1,1328.0,931.1467,931.1467
BC000004,15,DE,Berlin,ES,Madrid,12,Business Class Flight,1,495.0,411.5677,411.5677
EF000014,16,JP,Fukuoka,JP,Tokyo,10,Economy Flight,1,226.0,130.658,130.658
EF000015,17,MX,Mexico City,US,Miami,10,Economy Flight,1,463.0,304.0142,304.0142
EF000016,18,CN,Beijing,AE,Dubai,10,Economy Flight,1,993.0,630.9485,630.9485
EF000017,18,AE,Dubai,GB,London,10,Economy Flight,2,753.0,1098.3786,1098.3786
BC000005,19,DE,Berlin,ES,Madrid,12,Business Class Flight,1,713.0,411.5677,411.5677
BC000006,20,CN,Beijing,TR,Istanbul,12,Business Class Flight,1,5786.0,2900.1914,2900.1914
BC000007,21,AU,Sydney,CN,Beijing,12,Business Class Flight,1,6224.0,3682.3494,3682.3494
EF000018,22,BR,São Paulo,US,Dallas,10,Economy Flight,1,1405.0,1167.7216,1167.7216
EF000019,22,US,Dallas,JP,Tokyo,10,Economy Flight,2,1381.0,1470.0091,1470.0091
EF000020,23,AU,Sydney,AE,Dubai,10,Economy Flight,1,1308.0,1354.7272,1354.7272
EF000021,23,AE,Dubai,DE,Frankfurt,10,Economy Flight,2,603.0,1008.2278,1008.2278
BC000008,24,BR,São Paulo,AR,Buenos Aires,12,Business Class Flight,1,1717.0,376.8229,376.8229
EF000022,25,US,New York,CA,Toronto,10,Economy Flight,1,439.0,82.8664,82.8664
EF000023,26,BR,São Paulo,PT,Lisbon,10,Economy Flight,1,2255.0,1123.9445,1123.9445
EF000024,27,CN,Beijing,RU,Moscow,10,Economy Flight,1,930.0,820.8745,820.8745
EF000025,28,AU,Sydney,US,Los Angeles,10,Economy Flight,1,1802.0,1708.4588,1708.4588
EF000026,29,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1581.0,1053.7135,1053.7135
EF000027,30,AU,Sydney,CN,Beijing,10,Economy Flight,1,1139.0,1269.822,1269.822
FC000002,31,BR,São Paulo,US,Miami,11,First Class Flight,1,11076.0,3724.4552,3724.4552
EF000028,32,CN,Beijing,RU,Moscow,10,Economy Flight,1,990.0,820.8745,820.8745
EF000029,33,BR,São Paulo,PT,Lisbon,10,Economy Flight,1,1692.0,1123.9445,1123.9445
EF000030,34,BR,São Paulo,US,Miami,10,Economy Flight,1,1388.0,931.1467,931.1467
BC000009,35,CN,Beijing,CN,Shanghai,12,Business Class Flight,1,975.0,239.3489,239.3489
BC000010,35,CN,Shanghai,GB,London,12,Business Class Flight,2,6572.0,3784.1953,3784.1953
CA000001,36,US,New York,CA,Toronto,15,Volkswagen Golf petrol,1,93.45,178.5404,178.5404
EF000031,37,DE,Berlin,FR,Paris,10,Economy Flight,1,157.0,130.8506,130.8506
EF000032,38,CN,Beijing,AE,Dubai,10,Economy Flight,1,1020.0,630.9485,630.9485
EF000033,38,AE,Dubai,GB,London,10,Economy Flight,2,898.0,1098.3786,1098.3786
BC000011,39,BR,São Paulo,AR,Buenos Aires,12,Business Class Flight,1,1528.0,376.8229,376.8229
EF000034,40,BR,São Paulo,PT,Lisbon,10,Economy Flight,1,1739.0,1123.9445,1123.9445
EF000035,41,CN,Beijing,RU,Moscow,10,Economy Flight,1,1073.0,820.8745,820.8745
EF000036,42,AU,Sydney,SG,Singapore,10,Economy Flight,1,770.0,891.4661,891.4661
EF000037,42,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,1056.0,1456.1562,1456.1562
EF000038,43,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,128.0,188.4358,188.4358
EF000039,44,BR,São Paulo,US,Miami,10,Economy Flight,1,1449.0,931.1467,931.1467
BC000012,45,AU,Sydney,US,Los Angeles,12,Business Class Flight,1,9593.0,4954.3495,4954.3495
BC000013,46,DE,Hamburg,FR,Paris,12,Business Class Flight,1,628.0,169.0286,169.0286
EF000040,47,BR,São Paulo,US,Miami,10,Economy Flight,1,1446.0,931.1467,931.1467
EF000041,48,CN,Beijing,IN,New Delhi,10,Economy Flight,1,826.0,539.7169,539.7169
EF000042,49,AU,Sydney,US,Los Angeles,10,Economy Flight,1,1952.0,1708.4588,1708.4588
BC000014,50,US,New York,MX,Mexico City,12,Business Class Flight,1,1455.0,743.2958,743.2958
EF000043,51,AU,Sydney,AU,Perth,10,Economy Flight,1,423.0,485.8428,485.8428
EF000044,52,DE,Berlin,ES,Madrid,10,Economy Flight,1,235.0,274.397,274.397
EF000045,53,US,New York,CA,Toronto,10,Economy Flight,1,395.0,82.8664,82.8664
EF000046,54,CN,Beijing,IN,New Delhi,10,Economy Flight,1,862.0,539.7169,539.7169
EF000047,55,BR,São Paulo,US,Dallas,10,Economy Flight,1,1770.0,1167.7216,1167.7216
EF000048,55,US,Dallas,JP,Tokyo,10,Economy Flight,2,1475.0,1470.0091,1470.0091
CA000002,56,US,New York,CA,Toronto,16,BMW 3 plugin hybrid,1,163.59,101.2979,101.2979
EF000049,57,AU,Sydney,SG,Singapore,10,Economy Flight,1,921.0,891.4661,891.4661
EF000050,58,DE,Berlin,IT,Rome,10,Economy Flight,1,166.0,174.5966,174.5966
BC000015,59,CN,Beijing,IN,New Delhi,12,Business Class Flight,1,2437.0,1565.1219,1565.1219
EF000051,60,BR,São Paulo,AR,Buenos Aires,10,Economy Flight,1,682.0,251.2322,251.2322
EF000052,61,US,New York,MX,Mexico City,10,Economy Flight,1,532.0,495.564,495.564
BC000016,62,DE,Berlin,GB,London,12,Business Class Flight,1,424.0,213.7417,213.7417
BC000017,63,AU,Sydney,SG,Singapore,12,Business Class Flight,1,5022.0,2585.1574,2585.1574
EF000053,64,AU,Sydney,SG,Singapore,10,Economy Flight,1,804.0,891.4661,891.4661
EF000054,64,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,988.0,1456.1562,1456.1562
EF000055,65,AU,Sydney,SG,Singapore,10,Economy Flight,1,821.0,891.4661,891.4661
TR000001,66,DE,Berlin,NL,Amsterdam,4,Train,1,156.0,27.4334,27.4334
EF000056,67,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1704.0,1053.7135,1053.7135
BC000018,68,DE,Berlin,FR,Paris,12,Business Class Flight,1,532.0,196.2627,196.2627
BC000019,69,DE,Berlin,GB,London,12,Business Class Flight,1,490.0,213.7417,213.7417
EF000057,70,DE,Berlin,ES,Madrid,10,Economy Flight,1,234.0,274.397,274.397
CA000003,71,US,New York,CA,Toronto,15,Volkswagen Golf petrol,1,94.52,178.5404,178.5404
EF000058,72,AU,Sydney,AU,Melbourne,10,Economy Flight,1,203.0,104.5385,104.5385
EF000059,73,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1387.0,1053.7135,1053.7135
EF000060,74,AU,Sydney,AU,Melbourne,10,Economy Flight,1,146.0,104.5385,104.5385
BC000020,75,AU,Sydney,US,Los Angeles,12,Business Class Flight,1,7524.0,4954.3495,4954.3495
EF000061,76,AU,Sydney,AE,Abu Dhabi,10,Economy Flight,1,1633.0,1708.567,1708.567
EF000062,76,AE,Abu Dhabi,DE,Frankfurt,10,Economy Flight,2,689.0,688.6528,688.6528
EF000063,77,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,138.0,188.4358,188.4358
EF000064,78,US,New York,DE,Frankfurt,10,Economy Flight,1,1241.0,879.726,879.726
EF000065,78,DE,Frankfurt,DE,Berlin,10,Economy Flight,2,138.0,113.2008,113.2008
EF000066,79,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,173.0,188.4358,188.4358
EF000067,80,BR,São Paulo,AR,Buenos Aires,10,Economy Flight,1,685.0,251.2322,251.2322
EF000068,81,DE,Berlin,ES,Madrid,10,Economy Flight,1,210.0,274.397,274.397
EF000069,82,AU,Sydney,SG,Singapore,10,Economy Flight,1,829.0,891.4661,891.4661
EF000070,83,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,168.0,188.4358,188.4358
EF000071,84,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1512.0,1053.7135,1053.7135
EF000072,85,AU,Sydney,CN,Shanghai,10,Economy Flight,1,1002.0,1117.6628,1117.6628
EF000073,85,CN,Shanghai,CN,Beijing,10,Economy Flight,2,254.0,159.5767,159.5767
EF000074,86,MX,Mexico City,US,Miami,10,Economy Flight,1,521.0,304.0142,304.0142
BC000021,87,DE,Berlin,IT,Rome,12,Business Class Flight,1,582.0,261.8772,261.8772
BC000022,88,CN,Beijing,RU,Moscow,12,Business Class Flight,1,4751.0,2380.4493,2380.4493
BC000023,89,AU,Sydney,AE,Dubai,12,Business Class Flight,1,6888.0,3928.5655,3928.5655
BC000024,89,AE,Dubai,DE,Frankfurt,12,Business Class Flight,2,2850.0,2923.7539,2923.7539
CA000004,90,US,New York,CA,Toronto,16,BMW 3 plugin hybrid,1,169.56,101.2979,101.2979
BC000025,91,CN,Beijing,IN,New Delhi,12,Business Class Flight,1,3260.0,1565.1219,1565.1219
EF000075,92,AU,Sydney,SG,Singapore,10,Economy Flight,1,882.0,891.4661,891.4661
EF000076,93,BR,São Paulo,US,Miami,10,Economy Flight,1,1182.0,931.1467,931.1467
EF000077,94,AU,Sydney,AE,Dubai,10,Economy Flight,1,1342.0,1354.7272,1354.7272
EF000078,94,AE,Dubai,DE,Frankfurt,10,Economy Flight,2,813.0,1008.2278,1008.2278
EF000079,95,AU,Sydney,CN,Shanghai,10,Economy Flight,1,1179.0,1117.6628,1117.6628
EF000080,95,CN,Shanghai,CN,Beijing,10,Economy Flight,2,264.0,159.5767,159.5767
EF000081,96,AU,Sydney,AU,Brisbane,10,Economy Flight,1,203.0,111.6058,111.6058
