TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,Purpose,OutOfPolicy,EntitiyCode,EmployeeNumber,BusinessUnit,HotelNights,NetCosts,Transportation_CO2e,Hotel_CO2e,Spend_CO2e
1,CN,Beijing,IN,New Delhi,Customer Visit,No,9000,M1000-M5008,Services,1,3456.0,3130.2438,58.9,4828.3306
2,BR,São Paulo,ZA,Johannesburg,Customer Visit,Yes,8000,M1000-M5012,Sales,6,6363.0,6111.3152,308.4,3759.0811
3,US,New York,MX,Mexico City,Customer Visit,Yes,6000,M1000-M5030,Sales,2,5207.0,1486.5916,38.6,3830.7077
4,CN,Beijing,GB,London,Internal Business Trip,No,8000,M1000-M5049,Customer Support,3,2651.0,3458.6542,31.2,2504.3536
5,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,8000,M1000-M5062,Marketing,6,3970.0,3416.9176,96.6,2715.8571
6,BR,São Paulo,ZA,Johannesburg,Conference/Exhibition,No,9000,M1000-M5069,Services,1,1897.0,2107.427,51.4,1173.9654
7,DE,Berlin,FR,Paris,Customer Visit,No,10000,M1000-M5095,Executive Management,1,963.0,392.5254,6.7,320.7752
8,BR,São Paulo,ZA,Johannesburg,Internal Business Trip,No,7000,M1000-M5097,Marketing,2,1614.0,2107.427,102.8,904.8901
9,AU,Sydney,DE,Frankfurt,Customer Visit,No,10000,M1000-M5107,Ecosystem,2,2550.0,4725.91,26.4,2969.6576
10,US,New York,MX,Mexico City,Customer Visit,No,6000,M1000-M5110,Marketing,1,862.0,991.128,19.3,553.3244
11,AU,Sydney,SG,Singapore,Customer Visit,No,7000,M1000-M5124,Marketing,2,1536.0,1782.9322,49.0,1143.5188
12,ZA,Cape Town,ZA,Johannesburg,Customer Visit,No,10000,M1000-M5132,Finance,3,568.0,376.8716,154.2,299.111
13,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,9000,M1000-M5135,Customer Support,6,3011.0,4695.2446,79.2,2342.7202
14,BR,São Paulo,US,Miami,Conference/Exhibition,No,8000,M1000-M5136,Executive Management,2,2018.0,1862.2934,32.2,882.3011
15,DE,Berlin,ES,Madrid,Conference/Exhibition,Yes,8000,M1000-M5145,Marketing,2,950.0,823.1354,14.0,273.7651
16,JP,Fukuoka,JP,Tokyo,Customer Visit,No,8000,M1000-M5149,Marketing,4,1482.0,261.316,156.0,145.4795
17,MX,Mexico City,US,Miami,Conference/Exhibition,No,9000,M1000-M5150,Executive Management,3,1446.0,608.0284,48.3,375.738
18,CN,Beijing,GB,London,Enablement,No,6000,M1000-M5151,Sales,1,2042.0,3458.6542,10.4,2672.039
19,DE,Berlin,ES,Madrid,Customer Visit,No,10000,M1000-M5161,Sales,4,1693.0,823.1354,28.0,394.3323
20,CN,Beijing,TR,Istanbul,Conference/Exhibition,No,9000,M1000-M5170,Customer Support,3,6316.0,5800.3828,96.3,8391.9257
21,AU,Sydney,CN,Beijing,Customer Visit,Yes,10000,M1000-M5186,Executive Management,2,6535.0,7364.6988,107.0,7476.1143
22,BR,São Paulo,JP,Tokyo,Customer Visit,No,10000,M1000-M5190,Sales,2,3431.0,5275.4614,78.0,2021.9786
